stock_id,avg_turnover,rank,updated_at
2330,94594981307.75,1,2026-06-04 19:11:45
2454,49872085257.25,2,2026-06-04 19:11:45
2408,49337264396.825,3,2026-06-04 19:11:45
2344,37927056700.425,4,2026-06-04 19:11:45
2303,37553632975.12,5,2026-06-04 19:11:45
3481,35561224813.177505,6,2026-06-04 19:11:45
2327,28186973083.375,7,2026-06-04 19:11:45
2317,27568453820.275,8,2026-06-04 19:11:45
2308,25447291511.0,9,2026-06-04 19:11:45
3037,25078641932.15,10,2026-06-04 19:11:45
6770,21840289713.35,11,2026-06-04 19:11:45
2382,17688526418.625,12,2026-06-04 19:11:45
3711,15757604665.65,13,2026-06-04 19:11:45
2449,15160397994.55,14,2026-06-04 19:11:45
3443,14440853410.5,15,2026-06-04 19:11:45
3017,14219624027.75,16,2026-06-04 19:11:45
3231,12593566680.425,17,2026-06-04 19:11:45
2345,12498841027.5,18,2026-06-04 19:11:45
6669,12466758988.75,19,2026-06-04 19:11:45
2383,12092627885.0,20,2026-06-04 19:11:45
2301,10598533083.475,21,2026-06-04 19:11:45
3661,10421012730.25,22,2026-06-04 19:11:45
6239,8658967485.05,23,2026-06-04 19:11:45
6285,8455119028.85,24,2026-06-04 19:11:45
2368,8393531952.0,25,2026-06-04 19:11:45
2360,7795839352.75,26,2026-06-04 19:11:45
2356,7720017100.597501,27,2026-06-04 19:11:45
1303,7284984391.490001,28,2026-06-04 19:11:45
2376,7203606314.85,29,2026-06-04 19:11:45
2881,6293828811.514999,30,2026-06-04 19:11:45
2324,6190380697.51,31,2026-06-04 19:11:45
2377,6026047516.6,32,2026-06-04 19:11:45
2404,5993641566.0,33,2026-06-04 19:11:45
5274,5920154584.0,34,2026-06-04 19:11:45
2603,5400497007.9,35,2026-06-04 19:11:45
2357,5155803377.75,36,2026-06-04 19:11:45
6415,4614542589.55,37,2026-06-04 19:11:45
3533,4442684146.75,38,2026-06-04 19:11:45
3036,4235340113.05,39,2026-06-04 19:11:45
1519,4142315887.55,40,2026-06-04 19:11:45
2882,3894534235.4600005,41,2026-06-04 19:11:45
3529,3863491070.75,42,2026-06-04 19:11:45
2891,3808141998.165,43,2026-06-04 19:11:45
3034,3794470669.15,44,2026-06-04 19:11:45
2887,3731644128.6475,45,2026-06-04 19:11:45
3035,3680535258.2,46,2026-06-04 19:11:45
2379,3515573587.95,47,2026-06-04 19:11:45
6446,3270222842.45,48,2026-06-04 19:11:45
1504,3125114149.795,49,2026-06-04 19:11:45
2474,2887219968.525,50,2026-06-04 19:11:45
3706,2825597040.7400002,51,2026-06-04 19:11:45
2353,2729639835.4,52,2026-06-04 19:11:45
3044,2630660450.75,53,2026-06-04 19:11:45
1605,2598482202.9875,54,2026-06-04 19:11:45
2395,2588540836.675,55,2026-06-04 19:11:45
2883,2388722522.8900003,56,2026-06-04 19:11:45
2412,2348785951.65,57,2026-06-04 19:11:45
6116,2257283388.084,58,2026-06-04 19:11:45
4938,1989555785.5,59,2026-06-04 19:11:45
3149,1970134327.39,60,2026-06-04 19:11:45
2618,1904076685.4450002,61,2026-06-04 19:11:45
2885,1888047630.6350002,62,2026-06-04 19:11:45
2912,1769588442.125,63,2026-06-04 19:11:45
3045,1740492076.625,64,2026-06-04 19:11:45
2880,1737730901.6200001,65,2026-06-04 19:11:45
2892,1702766809.0575,66,2026-06-04 19:11:45
1402,1649750585.0125,67,2026-06-04 19:11:45
1326,1613612746.9950001,68,2026-06-04 19:11:45
2884,1595834309.3049998,69,2026-06-04 19:11:45
2886,1543352217.57,70,2026-06-04 19:11:45
2609,1539800587.1074998,71,2026-06-04 19:11:45
2002,1416552240.6725,72,2026-06-04 19:11:45
1216,1414191246.875,73,2026-06-04 19:11:45
5871,1375188236.25,74,2026-06-04 19:11:45
1301,1330610657.75,75,2026-06-04 19:11:45
2890,1308676748.7075,76,2026-06-04 19:11:45
2615,1014162466.9799999,77,2026-06-04 19:11:45
2610,987413725.8625,78,2026-06-04 19:11:45
4904,799543388.35,79,2026-06-04 19:11:45
1102,789019038.83,80,2026-06-04 19:11:45
1101,760631602.34,81,2026-06-04 19:11:45
6005,690653182.62,82,2026-06-04 19:11:45
2458,653816678.875,83,2026-06-04 19:11:45
3023,615412491.95,84,2026-06-04 19:11:45
2855,600370487.4275,85,2026-06-04 19:11:45
2385,584295806.05,86,2026-06-04 19:11:45
2801,580184562.0649999,87,2026-06-04 19:11:45
2834,572154879.7075,88,2026-06-04 19:11:45
8454,564677312.5,89,2026-06-04 19:11:45
5876,535942315.44750005,90,2026-06-04 19:11:45
5880,531511495.055,91,2026-06-04 19:11:45
2105,506769863.35749996,92,2026-06-04 19:11:45
2606,501136791.245,93,2026-06-04 19:11:45
6505,468028101.31499994,94,2026-06-04 19:11:45
9904,428038649.6775,95,2026-06-04 19:11:45
2207,348940342.675,96,2026-06-04 19:11:45
9910,309017350.365,97,2026-06-04 19:11:45
2637,273509684.88,98,2026-06-04 19:11:45
2634,264847461.34249997,99,2026-06-04 19:11:45
6525,231010631.9,100,2026-06-04 19:11:45
2605,210745255.78500003,101,2026-06-04 19:11:45
9945,209495312.34999996,102,2026-06-04 19:11:45
2845,148832880.0375,103,2026-06-04 19:11:45
4743,143850433.555,104,2026-06-04 19:11:45
2201,105678808.2175,105,2026-06-04 19:11:45
2204,98535909.725,106,2026-06-04 19:11:45
6547,94397331.64750001,107,2026-06-04 19:11:45
2867,91730131.553,108,2026-06-04 19:11:45
2889,51353758.19,109,2026-06-04 19:11:45
2897,48148649.034,110,2026-06-04 19:11:45
1707,42130429.72,111,2026-06-04 19:11:45
2838,36726951.755,112,2026-06-04 19:11:45
4142,22705021.1475,113,2026-06-04 19:11:45
2459,17638902.869999997,114,2026-06-04 19:11:45
1760,13109476.08,115,2026-06-04 19:11:45
